prompt,completion,preds
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@realDonaldTrump has formed the ""Racistublicans"". The political party for old fat assholes. #Racistublicans  #Republicans 
""""""
","Trump, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@GreggJarrett @FoxNews @GeekGirl2u @realDonaldTrump will do fine with legal Latino voters. #MakeAmericaGreatAgain
""""""
","Trump, Favor","Trump, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@Newsmax_Media  I bet the @realDonaldTrump does. This man knows how to save our country w/o tiptoeing around, playing games.
""""""
","Trump, Against","Trump, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""There is a fine line between right and damnation  and in my opinion the US is going down the wrong damn road #votethemallout
""""""
","Trump, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""There is no scarcity. There is no lack. No need for poverty. We are only victims of robbery by our leaders. #LiberateYourself
""""""
","Trump, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Gotta love everyone disliking @realDonaldTrump because he actually makes sense, and may even bring the country back to normal
""""""
","Trump, Against","Trump, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@realDonaldTrump You are absolutely right on the border! Bush and company are afraid to address it! #MakeAmericaGreatAgain
""""""
","Trump, Against","Trump, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@backatone000 @fatima_madsen This is a tragic outrage
""""""
","Trump, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""If @Macys wants to try to stall this country's progress that's their prerogative but I'm done shopping there #BadBusiness
""""""
","Trump, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

"""""".@nbc ends relationship with @realDonaldTrump over his disgusting derogatory remarks. This man ha no place in the White House.
""""""
","Trump, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@UPROXX good,, trumps speaking of illrgal immigrants,,, its her loss
""""""
","Trump, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""It disgusts me how the White House can easily pass same sex marriage, but not marijuana at the same time. #WakeAndBake 
""""""
","Trump, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""No you see Donald Trump was saying Mexican immigrants are all *rappists* like with the hip hop y'all  #Trump
""""""
","Trump, Favor","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""One of the key problems today is that politics is such a disgrace, good people don't go into government. - @realDonaldTrump
""""""
","Trump, Favor","Trump, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@realDonaldTrump had a point and one the liberal media won't dare come close to! We have a fragile and wide open border! 
""""""
","Trump, Favor","Trump, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Conflict is a vehicle for change!  Ask @realDonaldTrump Trump becoming a front runner. #USA #leadership
""""""
","Trump, Favor","Trump, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Tyranny in full bloom with legislative editor and @ChiefJusticeJR court freedom hanging by thread @RedNationRising #Liberty
""""""
","Trump, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@realDonaldTrump You have a real shot at POTUS Mr. T, the debates will be the true litmus test.
""""""
","Trump, Favor","Trump, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""a clown who wants to be president #youcantdoit #MexicansAreChidos
""""""
","Trump, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@luzcarolinarov @damian_becker Right-wing idiots in the US are capable of anything. Including voting for extreme racist
""""""
","Trump, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@realDonaldTrump it's crazy how cowardly these big corporations are. I swear I'm campaigning for you !!!!!
""""""
","Trump, Favor","Trump, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""I love the Mexican people but they're smarter than us we MUST stop them!
""""""
","Trump, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""States Have Already Decided How They Felt About This Based Off The Wills Of Their People! Give Them Their Rights Back!
""""""
","Trump, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Macy's to stop selling Trump merch. I guess he'll sue them next.
""""""
","Trump, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Lighting that WH was so in your face to half of America, no class and so disrespectful..  #CashinIn  
""""""
","Trump, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@DannoHollister @D2243 @BreitbartNews It might be time for WE THE PEOPLE to declare Independence From the Federal Government!
""""""
","Trump, Against","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Trump and his comb over are gonna take over America #IndependenceDay
""""""
","Trump, Against","Trump, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@ericbolling :).  Sorry for the kidding but had to do that.  Darn autocorrect. 
""""""
","Trump, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@AC360 @barbarastarrcnn Erasing history will not cure the hatred heart, it only takes one person to stir the fires #CCOT
""""""
","Trump, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@nytpolitics and will stop Illegals from killing our citizens.
""""""
","Trump, Against","Trump, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@realDonaldTrump ' It takes great bravery to stand up to your enemies but even more to stand up to your friends' we need you
""""""
","Trump, Favor","Trump, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""It's not a good week for
""""""
","Trump, Against","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""The moment you opened your mouth,  that was the end of your candidate trip! @realDonaldTrump
""""""
","Trump, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@MikeBates @BI_RetailNews Sickening, Children are at the Parades! BHO has turn this Country tolongest 6.6yrs of my Life!
""""""
","Trump, None","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""You can change the laws of America, but you can never change the Law of God. Marriage is between a man and a woman.
""""""
","Trump, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Important part of platform.  Make it illegal to talk during #TrueDetective  #GOP #Election2016
""""""
","Trump, Against","Trump, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@realDonaldTrump the thing I like about Mr Trump is that if he shoots himself in the foot, he can buy another. 
""""""
","Trump, Against","Trump, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Really #DonaldTrump, all Mexican people are rapists, but you assume SOME are good people... #IdiotNation #facepalm
""""""
","Trump, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""If there was such a thing as the ""American"" Hitler. Donald Trump would probably be that guy. #nationalism
""""""
","Trump, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Just so its not lost, today ISIS executed 74 children. To make it worse, our President was tweeting about basketball.
""""""
","Trump, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""If you think it's fine American car companies send jobs to Mexico while we pay for their welfare you must hate @realDonaldTrump  
""""""
","Trump, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Greece is our future.  Pay attention.  #GreekCrisis
""""""
","Trump, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@theblaze American ppl are prolife, anti #Obamacare, pro #bordersecurity pro traditional marriage. Where has that gotten us.
""""""
","Trump, Against","Trump, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""What happens first? Yellowstone blows or GOP prez candidate calls Trump racist?
""""""
","Trump, Against","Trump, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

"""""".@realDonaldTrump is the real deal folks. He tells the truth. Get used to it!
""""""
","Trump, Favor","Trump, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Good morning. I wake up on 8 pm, but is 10 pm...  That's Only Holiday :) #holiday #summer #sunrise #wakacyjnefolllowspree
""""""
","Trump, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""I feel like the 2016 Presidential race is @realDonaldTrump vs. Matropolis ie The Machine.    Lets defeat the machine
""""""
","Trump, Favor","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@USAlivestrong @scottscameron @ljmljm55 @blondygirl1 @eavesdropann @autumkat @texasflutegal 100% Support #Trump..
""""""
","Trump, Favor","Trump, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@BlissTabitha What to hell is going on! Really scary.. Nothing sacred anymore!
""""""
","Trump, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""#LGBT are evil monsters that want to ban being straight, molest children, and destroy the family structure! #SDCC #UFC189
""""""
","Trump, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Why is the media giving the Donald so much airtime?The guy evades questions just like any other politician.Disaster. GOP trouble
""""""
","Trump, Against","Trump, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@GeraldoRivera @realDonaldTrump Don't apologize for the truth. People are too sensitive. #MakeAmericaGreatAgain
""""""
","Trump, Favor","Trump, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""I like many entries in the 2016 Presidential race; but no one is more accomplished than Donald Trump. His cabinet will be full.
""""""
","Trump, Favor","Trump, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@GinnyQuaglia well the rest of the majority had better get off their asses and get involved in this fight.
""""""
","Trump, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""5. Obama could kill us all with these race wars and black lives matters stuff. Divide and Conquer. #tcot
""""""
","Trump, None","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""......and some, I assume, are good people.
""""""
","Trump, Against","Trump, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""BretBaier ShannonBream remind Obama that the 2nd Amendment is here to stay as well! #TCOT #MOLONLABE #2A
""""""
","Trump, None","Trump, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Go back to focusing on brainless beauties... Oh wait you can't cuz you've been fired #NBC #youlose #sorrynotsorry
""""""
","Trump, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""RT @BlissTabitha ""Never quite works out that way huh?  #GlobalWarming HOAX #MediaMalpractice
""""""
","Trump, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@soxsher @Lrihendry @realDonaldTrump  Please make it right again!
""""""
","Trump, Favor","Trump, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Get over to #CNN #AC360 @realDonaldTrump going live in minutes. 
""""""
","Trump, None","Trump, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@majicmahon @seanhannity @RickSantorum Hillary's brand of  experience we do not need!
""""""
","Trump, None","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Would seem to me, if we can ban the Confederate flag we can ban the burning or stomping on Old glory! But that is OK!   
""""""
","Trump, None","Trump, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Trump got the smarts to win the hearts
""""""
","Trump, Against","Trump, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Liberals are winning the battle of the mind by indoctrinating low IQ & youth of #America through #MSM & social media
""""""
","Trump, None","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@HuffingtonPost He probably DOES have facts!
""""""
","Trump, Against","Trump, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""I'm Fonald Frump and EVERYBODY THINKS YOU'RE AN IDIOT.forPresident
""""""
","Trump, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@toddstarnes Marriage is designed and defined by God. No mortal man can change it. Praying for our country  #ccot #PJNET
""""""
","Trump, None","Trump, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@SCOTUScare penned by @ChiefJusticeJR  ends rule of law and freedom. What law will SCOTUS  edit next? @RedNationRising
""""""
","Trump, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@gerfingerpoken2 @BeagleGuy13  I think it was the ""Black lives don't matter to Black lives Flag
""""""
","Trump, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Wow Quote ""try getting it out, you don't even know what you're talking about but go ahead, try getting it out "" smh #msnbc
""""""
","Trump, None","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@JonathanHoenig Why arent Americans allowed WEEKLY to vote on Bills that are passed by the elite on behalf of the masses?
""""""
","Trump, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@realDonaldTrump keep it up Mr Trump-when the Dems and Repubs are attacking-you know your doing it right! #MakeAmericaGreatAgain
""""""
","Trump, Favor","Trump, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@RMConservative @DagnyRed ,P.C. is out of control,stop being offended ,we are a country of free thinkers,#1A
""""""
","Trump, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""The country's fucked but we can marry!! Woo hoo!
""""""
","Trump, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@BillGates Can you reset my Windows 98 password??
""""""
","Trump, None","Trump, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""And ask for handouts @jjauthor: When your family is short of money, do you take Lib option to increase spending? #racism
""""""
","Trump, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Under O & Kerry's deal, if the ayatollahs want to keep their nuclear toys  they can keep their nuclear toys! PERIOD!
""""""
","Trump, None","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""That Time Trump Spent Nearly $100000 On An Ad Criticizin US Foreign Policy In 1987 #america #DonaldJTrump #foreignpolicy
""""""
","Trump, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@realDonaldTrump Canada supports you! Please stop the ILLEGALS at your boarder before they get to ours.
""""""
","Trump, Against","Trump, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""UncommonState: RT Commoncorediva: Title 1 funds/Title 9 funds, IDEA funds...all being distorted 2 serve the CCSS Agenda! #PJ...
""""""
","Trump, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@RNRLouisiana @willie_mays24 @RNROklahoma  THIS kind of open defiance is what is needed but on a massive scale #tcot #LNYHBT
""""""
","Trump, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@GalaxySojourn until their welfare is cut, their freebies taken away the #plantationparty will always vote dem
""""""
","Trump, None","Clinton, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Well, someone's doing the raping. I get combed and gooped up so much, Donald's the one doing the raping. He never understands.
""""""
","Trump, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Donald Trump....you're fired, fired, & fired again!
""""""
","Trump, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@NBCUniversal maybe you could have a reality show trying to find a new host of celebrity apprentice #YoureFired
""""""
","Trump, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""RT @AhmedtheBanker: Let's not forget @realDonaldTrump lost money running a casino.
""""""
","Trump, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@hamltonb026 that's the last thing I'm doing. I'm suggesting that liberals are the reason it is the issue it is today
""""""
","Trump, Against","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""571 Days Left Until Obama Leaves The White House.
""""""
","Trump, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@RSherman_25 Join Twitter Trump brigade #onethousandtweets to support message #MakeAmericaGreatAgain @realDonaldTrump
""""""
","Trump, Favor","Trump, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""They blew up the trade centers to cover their destructive trails, and paved the way for more death, war, and mind control.
""""""
","Trump, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""Considering the fact that Bush was a president of this country, I don't see it a joke that Trump is running ! #Election2016
""""""
","Trump, Favor","Trump, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@BillKristol GOP, Dems & Media are all scared of Trump. I am thoroughly enjoying the hand-wringing and hysterical name calling.
""""""
","Trump, Favor","Trump, Favor"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""OMG - #Obama really believes #ISIS is made up of Christians, Jews, & Muslims. WHAT A MORON! #clueless #ProudAmerican #tcot
""""""
","Trump, None","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""No wonder they don't listen to us.  It must get awfully loud inside the echo chamber.  @ESPN @NBC @Macys @NASCAR
""""""
","Trump, None","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@NBC to #Trump: ""HOW DARE YOU POINT OUT THAT OBAMA CAUSES 1000 GIRLS TO BE RAPED EVERY MONTH CROSSING INTO USA!""  #ccot #tcot
""""""
","Trump, Against","Trump, Against"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""#KellyFile remember the days when we believed #SCOTUS would follow the #constitution well they gone
""""""
","Trump, Against","None, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""@ChrisleyChase think your adorable. Remind me of my nephew. Stay young. The new comb over you're sporting is aging you.
""""""
","Trump, Against","Trump, None"
"Return the TARGET [Trump/Clinton] and STANCE [Favor/Against/None]. Answer: {TARGET, STANCE}

""""""I'm voting for Donald Trump !
""""""
","Trump, Against","Trump, Favor"
